Address,Latitude,Longitude
"1962 Camden Valley Way, EDMONDSON PARK NSW 2174",-33.9537528,150.8564718
"475 The Entrance Rd, LONG JETTY NSW 2261",-33.3632943,151.4789139
"Lot 1 Cowpasture Road, HOXTON PARK NSW 2171",-33.9257009,150.8491821
"158 Auburn Rd, Birrong NSW 2143",-33.897612,151.0212981
"32-36 Woodpark Rd, WOODPARK NSW 2164",-33.8410701,150.9634366
"1234 Princess Highway, Engadine NSW 2233",-34.0774032,151.0112053
"85 MAIN ST, YOUNG NSW 2594",-34.3138214,148.2953061
"53 GEORGE ST, SINGLETON NSW 2330",-32.5617129,151.1748456
"44 Foster St, Lake Cargelligo NSW 2672",-33.2992675,146.370145
"516-526 GREAT WESTERN HWY, ST MARYS NSW 2760",-33.7703142,150.7661309
"127-129 MARION ST, LEICHHARDT NSW 2040",-33.8839175,151.1507827
"35 WARATAH ST, TUMUT NSW 2720",-35.3011346,148.2060743
"105 Pacific Hwy (Cnr Kangaroo St), Raymond Terrace NSW 2324",-32.7703089,151.7610797
"69-73 George St, Singleton NSW 2330",-32.5628626,151.1754886
"254-256 Shellharbour Rd, Barrack Heights NSW 2528",-34.5594249,150.8594128
"33-37 Carrington Rd, RANDWICK NSW 2031",-33.9064378,151.2525194
"Corner Richardson Road and Nelson Bay, SALT ASH NSW 2318",-32.7892869,151.9028323
"2 Rawson Road, GUILDFORD NSW 2161",-33.8637857,151.0088352
"924 Victoria Rd, WEST RYDE NSW 2114",-33.8109897,151.09348
"154 Silverwater Rd, SILVERWATER NSW 2128",-33.8316403,151.0485951
"147 Newbridge Rd, CHIPPING NORTON NSW 2170",-33.928313,150.964067
"6 Fordham Way, Oran Park NSW 2570",-34.0003051,150.7382728
"609 Argyle Street, Moss Vale NSW 2577",-34.5541626,150.3611254
"254a Richardson Street, Spring Farm NSW 2570",-34.0685203,150.7297283
"1 Hanrahan Place (Cnr Leeds Pde), Orange NSW 2800",-33.2587847,149.1138757
"4 LUXTON ST, BELCONNEN ACT 2617",-35.2364188,149.0591173
"94-96 Sheppard St, Hume ACT 2620",-35.3923239,149.1624261
